#proteinId,gotermId,goName,gotermType,goAcc
jgi.p|Exode1|1,2290,catalytic activity,molecular_function,GO:0003824
jgi.p|Exode1|1,5830,metabolic process,biological_process,GO:0008152
jgi.p|Exode1|1,10005,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",molecular_function,GO:0016810
jgi.p|Exode1|2,2196,transcription factor activity,molecular_function,GO:0003700
jgi.p|Exode1|2,3838,nucleus,cellular_component,GO:0005634
jgi.p|Exode1|2,4504,"regulation of transcription, DNA-dependent",biological_process,GO:0006355
jgi.p|Exode1|2,5939,zinc ion binding,molecular_function,GO:0008270
jgi.p|Exode1|2,2176,DNA binding,molecular_function,GO:0003677
jgi.p|Exode1|2,4499,transcription,biological_process,GO:0006350
jgi.p|Exode1|3,12251,heme binding,molecular_function,GO:0020037
jgi.p|Exode1|3,21336,transition metal ion binding,molecular_function,GO:0046914
jgi.p|Exode1|4,2196,transcription factor activity,molecular_function,GO:0003700
jgi.p|Exode1|4,3838,nucleus,cellular_component,GO:0005634
jgi.p|Exode1|4,4504,"regulation of transcription, DNA-dependent",biological_process,GO:0006355
jgi.p|Exode1|4,5939,zinc ion binding,molecular_function,GO:0008270
jgi.p|Exode1|6,6667,biosynthetic process,biological_process,GO:0009058
jgi.p|Exode1|6,9967,"transferase activity, transferring nitrogenous groups",molecular_function,GO:0016769
jgi.p|Exode1|6,13063,pyridoxal phosphate binding,molecular_function,GO:0030170
jgi.p|Exode1|6,10042,1-aminocyclopropane-1-carboxylate synthase activity,molecular_function,GO:0016847
jgi.p|Exode1|8,4977,amino acid transport,biological_process,GO:0006865
jgi.p|Exode1|8,8535,amino acid transmembrane transporter activity,molecular_function,GO:0015171
jgi.p|Exode1|8,9320,membrane,cellular_component,GO:0016020
jgi.p|Exode1|8,9321,integral to membrane,cellular_component,GO:0016021
jgi.p|Exode1|8,4927,transport,biological_process,GO:0006810
jgi.p|Exode1|9,23799,2-aminomuconate deaminase activity,molecular_function,GO:0050540
jgi.p|Exode1|15,3736,ATP binding,molecular_function,GO:0005524
jgi.p|Exode1|16,2196,transcription factor activity,molecular_function,GO:0003700
jgi.p|Exode1|16,3838,nucleus,cellular_component,GO:0005634
jgi.p|Exode1|16,4504,"regulation of transcription, DNA-dependent",biological_process,GO:0006355
jgi.p|Exode1|16,5939,zinc ion binding,molecular_function,GO:0008270
jgi.p|Exode1|16,6075,acyltransferase activity,molecular_function,GO:0008415
jgi.p|Exode1|16,9940,transferase activity,molecular_function,GO:0016740
jgi.p|Exode1|17,3421,guanyl-nucleotide exchange factor activity,molecular_function,GO:0005085
jgi.p|Exode1|17,3827,intracellular,cellular_component,GO:0005622
jgi.p|Exode1|17,24310,regulation of small GTPase mediated signal transduction,biological_process,GO:0051056
jgi.p|Exode1|17,5344,small GTPase mediated signal transduction,biological_process,GO:0007264
jgi.p|Exode1|18,3727,protein binding,molecular_function,GO:0005515
jgi.p|Exode1|18,5939,zinc ion binding,molecular_function,GO:0008270
jgi.p|Exode1|19,4929,cation transport,biological_process,GO:0006812
jgi.p|Exode1|19,5991,cation transmembrane transporter activity,molecular_function,GO:0008324
jgi.p|Exode1|19,9320,membrane,cellular_component,GO:0016020
jgi.p|Exode1|21,4977,amino acid transport,biological_process,GO:0006865
jgi.p|Exode1|21,8535,amino acid transmembrane transporter activity,molecular_function,GO:0015171
jgi.p|Exode1|21,9320,membrane,cellular_component,GO:0016020
jgi.p|Exode1|21,9321,integral to membrane,cellular_component,GO:0016021
jgi.p|Exode1|22,5854,tRNA (guanine-N7-)-methyltransferase activity,molecular_function,GO:0008176
jgi.p|Exode1|23,171,3'-5'-exoribonuclease activity,molecular_function,GO:0000175
jgi.p|Exode1|23,2924,5'-3' exoribonuclease activity,molecular_function,GO:0004534
jgi.p|Exode1|25,2996,lysophospholipase activity,molecular_function,GO:0004622
